id,name,phone,address,lat,lng
102,聯運門市(1、2樓),02-27857243,台北市南港區忠孝東路六段446號,25.0502135,121.5939889
58,公館門市,02-23657215,台北市中正區羅斯福路四段24巷12弄12號,25.0148038,121.5330568
66,新政大門市(1、2樓),02-86611033,台北市文山區指南路二段79號,24.9878905,121.57508159999999
30,福運門市,02-23639839,台北市大安區羅斯福路三段297-4號1樓,25.017584,121.531774
97,松山門市,02-27617882,台北市信義區松山路105號,25.0478529,121.57800900000001
13,花博門市,02-25956848,台北市大同區酒泉街39號,25.0707171,121.5189354
50,北車門市(B3),02-23117477,台北市中正區忠孝西路一段49號,25.046384600000003,121.5178642
75,智行門市,02-28588643,台北市北投區知行路306號,25.1221836,121.4674004
55,寧波門市,02-23432427,台北市中正區寧波西街11號,25.0314235,121.51857379999998
34,松錦門市(1、2樓),02-25028381,台北市中山區松江路307號,25.0615051,121.53348700000001
35,新長順門市,02-25236327,台北市中山區林森北路111號1樓,25.050535600000003,121.5251244
106,龍運門市(B1),02-23027016,台北市萬華區西園路一段153號,25.0354487,121.49957920000001
85,西華門市,02-25452182,台北市松山區復興北路313巷30號1樓,25.0588119,121.5462564
104,佳樂門市(1、2樓),02-26534801,台北市南港區南港路二段8.10號,25.054436199999998,121.60596709999999
91,五分埔門市,02-27617683,台北市信義區永吉路527號1樓,25.045582,121.58044199999999
107,西園門市(1、2樓),02-23031276,台北市萬華區西園路二段219號,25.0270176,121.4941314
47,龍江門市,02-25168792,台北市中山區龍江路334號1樓,25.0653928,121.54087790000001
101,福德門市,02-27590865,台北市信義區福德街280號,25.039075699999998,121.5864187
83,新東興門市,02-27658820,台北市松山區南京東路五段264號1樓,25.0511956,121.5665284
96,逸仙門市,02-27200947,台北市信義區忠孝東路四段502號,25.041058,121.561903
23,東門門市(B1),02-23518212,台北市大安區信義路2段166號,25.0336009,121.5292686
51,站前門市(B1),02-23117690,台北市中正區忠孝西路一段49號,25.046384600000003,121.5178642
16,永康門市,02-23916412,台北市大安區永康街7之2號,25.0330242,121.5299202
29,富運門市,02-27014264,台北市大安區復興南路二段279號,25.025515,121.5436754
92,吳興門市,02-27586839,台北市信義區吳興街141號1樓,25.029429999999998,121.561784
60,麗山門市,02-26271465,台北市內湖區內湖路一段419號,25.081626500000002,121.57127549999998
3,士林門市,02-28810698,台北市士林區文林路165號1樓,25.0894212,121.52672009999999
