id,name,phone,address,lat,lng
538,前鎮康定,(07)8126240,高雄市前鎮區康定路170號,22.5893454,120.3160948
606,花蓮慶豐,(03)8521812,花蓮縣吉安鄉中山路三段136號,23.9765101,121.5735639
427,嘉義友愛,(05)2331566,嘉義市西區友愛路402號,23.4870536,120.4338397
383,彰安,(04)751-7411,彰化縣彰化市中正路二段828號1樓,24.0646444,120.5341415
105,三峽和平,(02)26711046,新北市三峽區和平街65號B1,24.9368227,121.370096
278,大里,(04)2483-9901,台中市大里區東榮路八號,24.1102002,120.6894919
375,埔心,(04)829-7495,彰化縣埔心鄉員鹿路二段468號1樓,23.9530661,120.540836
159,淡水淡大,(02)2629-6697,新北市淡水區大忠街89號,25.1776989,121.446651
12,基隆東明,(02)2466-6912,基隆市信義區東明路177號,25.127511,121.7593494
354,二林斗苑,(04)8956659,彰化縣二林鎮斗苑路４段396號,23.8994805,120.3790235
297,天津,(04)2298-2334,台中市北區天津路二段171號,24.1699438,120.6787107
567,高雄燕巢,(07)616-0786,高雄市燕巢區中民路709號之3,22.7929742,120.3585249
346,豐原大社,(04)2528-0230,台中市豐原區三角路35號,24.2521213,120.7234816
204,中壢中山,(03)494-6650,桃園縣中壢市中山路500號,24.9571463,121.2154941
422,草屯,(049)231-4191,南投縣草屯鎮信義街368號,23.9829217,120.6799452
360,新福,(04)874-5528,彰化縣田中鎮北路里新生街150巷2號1樓,23.863161,120.58755
424,嘉義大統,(05)2831017,嘉義市西區大統路171號,23.472458,120.4254792
329,台中黎明,(04)2381-3031,台中市南屯區黎明路一段1040號,24.1390114,120.638046
616,台東,(089)325-210,台東縣台東市平等街11號,22.752352,121.1570081
563,鳳山南華,(07)7111486,高雄市鳳山區南華路83號1樓,22.601252,120.339069
483,麻豆興國,(06)5716610,台南市麻豆區興國路36-5號,23.181117,120.2476976
163,深坑平埔,(02)2662-0822,新北市深坑區平埔街22巷8號,25.0008661,121.614644
123,五股工商,(02)22916058,新北市五股區工商路112號,25.0855899,121.4371882
167,新店碧潭,(02)89111795,新北市新店區北新路１段181.183號,24.9643198,121.5400607
181,新莊昌盛,(02)2990-6566,新北市新莊區昌盛街105號1樓,25.0500122,121.4562792
29,敦南,(02)8772-0102,台北市大安區忠孝東路４段126號之1,25.0411937,121.5475235
500,高雄明誠,(07)342-8178,高雄市三民區明誠一路358號,22.6601168,120.324011
252,竹北,(03)551-1123,新竹縣竹北市民權街40巷2號,24.8335558,121.0123654
255,湖口中正,(03)5990082,新竹縣湖口鄉中正路１段192號,24.9002979,121.046855
94,三重中正,(02)8982-7689,新北市三重區中正北路592號,25.0720738,121.4698774
38,南京,(02)2581-4121,台北市中山區吉林路26巷34號,25.0514091,121.5288227
441,朴子文化,(05)3661275,嘉義縣朴子市文化北路18號,23.4644522,120.2415261
520,高雄博愛三,(07)348-5915,高雄市左營區博愛三路336號,22.6768439,120.3069624
172,新店建國,(02)29118025,新北市新店區建國路210號,24.9809528,121.5377947
236,龜山萬壽,(03)3200290,桃園縣龜山鄉中和南路40.42號,24.9940455,121.3363982
54,內湖,(02)2799-6619,台北市內湖區港墘路１２７巷１０號,25.077875,121.5769525
417,埔里,(049)291-7624,南投縣埔里鎮中山路３段376號,23.9694716,120.9553329
474,崇善,(06)335-5809,台南市東區崇善路666號,22.9681211,120.2312086
59,文山景興,(02)29303549,台北市文山區景興路191號B1,24.9924813,121.5443583
363,秀水,(04)768-5510,彰化縣秀水鄉彰水路一段22號1樓,24.0360873,120.5015529
361,竹塘,(04)897-6601,彰化縣竹塘鄉中興街57巷22號1樓,23.8589776,120.4263237
110,土城裕民,(02)2266-5123,新北市土城區裕民路116號B1,24.98649,121.4510523
305,大墩,(04)2327-5976,台中市西屯區大墩路1168號,24.1600639,120.6528993
595,宜蘭復興,(039)367-018,宜蘭縣宜蘭市復興路２段36號,24.748898,121.748904
493,歸仁中山,(06)2301086,台南市歸仁區中山路３段2號,22.9676105,120.2877192
50,德安,(02)2794-8505,台北市內湖區成功路４段30巷28弄2號,25.082741,121.591953
550,右昌,(07)360-0218,高雄市楠梓區德民路838號,22.7218306,120.2907833
335,烏日長春,(04)23380110,台中市烏日區長春街429號,24.1080609,120.6350439
589,宜蘭三星,(03)989-5518,宜蘭縣三星鄉中山路30-1號,24.6677355,121.6522916
572,屏東佳冬,(08)867-1196,屏東縣佳冬鄉中山路55號之5,22.429118,120.562803
131,汐止大同,(02)2649-0272,新北市汐止區大同路二段240號地下1樓,25.0654009,121.6540726
34,大安芳和,(02)23770832,台北市大安區樂業街87號1樓、B1,25.021664,121.551299
534,高雄二聖,(07)7240958,高雄市前鎮區二聖一路290號,22.612851,120.319657
243,桃園南崁,(03)311-9268,桃園縣蘆竹鄉南崁路一段7號,25.0505035,121.2899795
522,左營富國,(07)557-0038,高雄市左營區富國路87號,22.6593432,120.3063574
573,東港,(08)832-1445,屏東縣東港鎮長春一路８０號,22.4719342,120.458735
494,歸仁,(06)239-1358,台南市歸仁區復興路87號,22.9653361,120.2957698
496,高雄九如,(07)380-1671,高雄市三民區九如一路609號,22.6392675,120.3252503
452,永康南工,(06)3023827,台南市永康區中山南路282之5號,23.0148628,120.2350451
47,內湖文湖,(02)2659-0006,台北市內湖區內湖路１段49號,25.0851539,121.5594367
579,林森,(08)765-1175,屏東縣屏東市林森路100號1樓,22.6732742,120.4914689
106,三峽學成,(02)26719528,新北市三峽區學成路97.99號,24.9422988,121.3754204
463,台南安中,(06)256-3017,台南市安南區安中路１段872號,23.0441846,120.1938847
224,國際二,(03)220-7503,桃園縣桃園市國際路１段1136號,24.978755,121.288753
509,小港,(07)8112962,高雄市小港區小港路150-3號1樓,22.5653323,120.3394876
497,高雄大昌,(07)380-0272,高雄市三民區大昌二路525號1、2樓,22.6513057,120.3301962
443,新港,(05)374-0900,嘉義縣新港鄉中山路72巷2之1號,23.554144,120.346067
464,培安,(06)2550651,台南市安南區安和路１段463號,23.036401,120.213354
164,新店三民,(02)2912-8002,新北市新店區三民路42-1號,24.971875,121.5361199
623,馬公,(06)921-6991,澎湖縣馬公市東文澳９１－１號１樓,23.564528,119.5827395
288,大連,(04)2249-3677,台中市北屯區大連路二段12號,24.176178,120.6822
292,松竹,(04)2242-5357,台中市北屯區松竹路二段178巷51號,24.184469,120.695538
66,北投中和,(02)28918155,台北市北投區中和街49號1樓、B1,25.138389,121.502265
195,蘆洲長安,(02)2282-8611,新北市蘆洲區長安街232號,25.085644,121.4579786
39,中山林森,(02)25973152,台北市中山區林森北路561號,25.0645712,121.5258155
3,七堵,(02)2455-2098,基隆市七堵區南興路106號,25.0965557,121.7122079
531,高雄中華,(07)261-2669,高雄市前金區中華三路171號,22.631562,120.294814
99,三重天台,(02)2973-9535,新北市三重區重新路２段78號之21,25.0619496,121.4974124
212,中壢環中,(03)455-0185,桃園縣中壢市環中東路325號,24.9617502,121.2556054
7,基隆義二,(02)24283206,基隆市中正區信四路11號,25.1333098,121.7464591
36,松花,(02)2515-1077,台北市中山區合江街137號,25.0616114,121.539347
257,湖口文化,(03)597-2969,新竹縣湖口鄉鳳凰村15鄰文化路68號,24.8703628,121.0152896
262,竹南光復,(037)462016,苗栗縣竹南鎮光復路153號,24.687218,120.879143
205,中美,(03)422-6777,桃園縣中壢市中美路二段77號,24.9594299,121.222024
125,永和中正,(02)2949-3119,新北市永和區中正路139號,24.9981474,121.5161418
230,楊梅中山,(03)4789889,桃園縣楊梅市中山北路１段260.262.264號,24.9082249,121.1666632
535,前鎮保泰,(07)713-0510,高雄市前鎮區保泰路379號,22.6036005,120.3351699
468,佳里,(06)722-3866,台南市佳里區建南街112號,23.158147,120.1765104
253,竹北勝利,(03)658-9361,新竹縣竹北市勝利六街36號,24.8250919,121.0255797
